doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
Agenda Package - Training Sue_Mar26_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=4,Town of Ladysmith,,Index record for ladysmith escribe document identifier 4,escribe,ladysmith-archive,public-registry
Agenda Table of Contents - Training Sue_Mar26_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=5,Town of Ladysmith,,Index record for ladysmith escribe document identifier 5,escribe,ladysmith-archive,public-registry
Agenda Package - Training Andrea Meeting_May07_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=9,Town of Ladysmith,,Index record for ladysmith escribe document identifier 9,escribe,ladysmith-archive,public-registry
Agenda Table of Contents - Training Andrea Meeting_May07_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=10,Town of Ladysmith,,Index record for ladysmith escribe document identifier 10,escribe,ladysmith-archive,public-registry
Agenda Package - Training Joanna_May22_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=11,Town of Ladysmith,,Index record for ladysmith escribe document identifier 11,escribe,ladysmith-archive,public-registry
Agenda Table of Contents - Training Joanna_May22_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=12,Town of Ladysmith,,Index record for ladysmith escribe document identifier 12,escribe,ladysmith-archive,public-registry
Agenda Table of Contents - Training Ahmed Meeting_May07_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=13,Town of Ladysmith,,Index record for ladysmith escribe document identifier 13,escribe,ladysmith-archive,public-registry
Agenda Package - Training Ahmed Meeting_May07_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=14,Town of Ladysmith,,Index record for ladysmith escribe document identifier 14,escribe,ladysmith-archive,public-registry
Sample.docx,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=19,Town of Ladysmith,,Index record for ladysmith escribe document identifier 19,escribe,ladysmith-archive,public-registry
Agenda Table of Contents - Training Ahmed Meeting_May07_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=20,Town of Ladysmith,,Index record for ladysmith escribe document identifier 20,escribe,ladysmith-archive,public-registry
Merged Agenda Package - Training Ahmed Meeting_May07_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=21,Town of Ladysmith,,Index record for ladysmith escribe document identifier 21,escribe,ladysmith-archive,public-registry
Agenda Package - Training Sue_Mar26_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=30,Town of Ladysmith,,Index record for ladysmith escribe document identifier 30,escribe,ladysmith-archive,public-registry
Merged Agenda Package - Training Sue_Mar26_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=37,Town of Ladysmith,,Index record for ladysmith escribe document identifier 37,escribe,ladysmith-archive,public-registry
Merged Agenda Package - Training Andrea Meeting_May07_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=38,Town of Ladysmith,,Index record for ladysmith escribe document identifier 38,escribe,ladysmith-archive,public-registry
Merged Agenda Package - Training Joanna_May22_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=39,Town of Ladysmith,,Index record for ladysmith escribe document identifier 39,escribe,ladysmith-archive,public-registry
20180323105256638.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=40,Town of Ladysmith,,Index record for ladysmith escribe document identifier 40,escribe,ladysmith-archive,public-registry
watershed.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=44,Town of Ladysmith,,Index record for ladysmith escribe document identifier 44,escribe,ladysmith-archive,public-registry
Merged Agenda Package - Training Ahmed Meeting_May07_2018.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=47,Town of Ladysmith,,Index record for ladysmith escribe document identifier 47,escribe,ladysmith-archive,public-registry
eSCRIBE - Participant Training -eSCRIBE Meetings Pro App.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=49,Town of Ladysmith,,Index record for ladysmith escribe document identifier 49,escribe,ladysmith-archive,public-registry
RFD - eSCRIBE Template.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=50,Town of Ladysmith,,Index record for ladysmith escribe document identifier 50,escribe,ladysmith-archive,public-registry
eSCRIBE - Participant Training -eSCRIBE Meetings Pro App.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1041,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1041,escribe,ladysmith-archive,public-registry
RFD - eSCRIBE Template.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1042,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1042,escribe,ladysmith-archive,public-registry
Post-Meeting Minutes - Training Ahmed Meeting_May07_2018 - English.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1049,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1049,escribe,ladysmith-archive,public-registry
20180323105256638.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1050,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1050,escribe,ladysmith-archive,public-registry
Post-Meeting Minutes - Training Andrea Meeting_May07_2018 - English.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1054,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1054,escribe,ladysmith-archive,public-registry
2019.02.13 Special Council Minutes.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1055,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1055,escribe,ladysmith-archive,public-registry
2019.03.04 SR2 379 Davis Rd 3360 19 01.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1056,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1056,escribe,ladysmith-archive,public-registry
1994 Amend OCP 1488 (No.57) 379 Davis.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1057,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1057,escribe,ladysmith-archive,public-registry
1995 Zoning Amendment (No. 24) 379 Davis.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1058,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1058,escribe,ladysmith-archive,public-registry
Draft Poet Laureate Staff Report - updated.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1059,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1059,escribe,ladysmith-archive,public-registry
DRAFT Town of Ladysmith Poet Laureate Policy Feb 2019.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1060,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1060,escribe,ladysmith-archive,public-registry
2019.03.04 SR Ticket Bylaw amend.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1061,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1061,escribe,ladysmith-archive,public-registry
2003 MTI 1457 Amendment Schedule 11.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1062,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1062,escribe,ladysmith-archive,public-registry
2019.03.04 SR Water and Sewer Rates amendment.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1063,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1063,escribe,ladysmith-archive,public-registry
1996  Amend Water Rates 2019.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1064,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1064,escribe,ladysmith-archive,public-registry
1997 Amend Sanitary Sewer Rates 2019.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1065,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1065,escribe,ladysmith-archive,public-registry
2002 Sewer Connection Bylaw Amendment.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1066,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1066,escribe,ladysmith-archive,public-registry
2019.03.04 SR Boulevard and Tow amendment.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1067,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1067,escribe,ladysmith-archive,public-registry
"1993 Streets and Traffic Amendment 6 Boulevard, Impound Fee.pdf",https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1068,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1068,escribe,ladysmith-archive,public-registry
Presentation to the Town of Ladysmith.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1069,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1069,escribe,ladysmith-archive,public-registry
LDHS Letter to Mayor and Council Town of Ladysmith February 2019.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1070,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1070,escribe,ladysmith-archive,public-registry
2017.07.28 LDHS and Museum Servicing Agrmt.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1071,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1071,escribe,ladysmith-archive,public-registry
2004 Road Closure and Dedication Removal Bylaw (674 Farrell Road).pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1072,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1072,escribe,ladysmith-archive,public-registry
2019.03.04 SR Bylaw 2004 Close 674 Farrell Road.pdf,https://pub-ladysmith.escribemeetings.com/FileStream.ashx?DocumentId=1073,Town of Ladysmith,,Index record for ladysmith escribe document identifier 1073,escribe,ladysmith-archive,public-registry
