doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
Agenda Package - EC_Apr03_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=6,School District 68,,Index record for sd68 escribe document identifier 6,escribe,sd68-archive,public-registry
Agenda Package - EC_Apr03_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=12,School District 68,,Index record for sd68 escribe document identifier 12,escribe,sd68-archive,public-registry
Post-Meeting Minutes - EC_Apr03_2019 - English.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=18,School District 68,,Index record for sd68 escribe document identifier 18,escribe,sd68-archive,public-registry
Agenda Package - BCM_Apr10_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=23,School District 68,,Index record for sd68 escribe document identifier 23,escribe,sd68-archive,public-registry
Agenda Package - BCM_Apr10_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=29,School District 68,,Index record for sd68 escribe document identifier 29,escribe,sd68-archive,public-registry
07 - Mar 6 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1026,School District 68,,Index record for sd68 escribe document identifier 1026,escribe,sd68-archive,public-registry
AS - Capital Plan Bylaw No. 2019 2020-CPSD68-01.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1027,School District 68,,Index record for sd68 escribe document identifier 1027,escribe,sd68-archive,public-registry
CUPE Budget Presentation 2019-2020.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1028,School District 68,,Index record for sd68 escribe document identifier 1028,escribe,sd68-archive,public-registry
Department of Learning Services Presentation.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1029,School District 68,,Index record for sd68 escribe document identifier 1029,escribe,sd68-archive,public-registry
Superintendent District Review Story April 10 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1030,School District 68,,Index record for sd68 escribe document identifier 1030,escribe,sd68-archive,public-registry
NLPS Logo.png,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1031,School District 68,,Index record for sd68 escribe document identifier 1031,escribe,sd68-archive,public-registry
Agenda Package - BCM_Apr10_2019 - English.Html,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1032,School District 68,,Index record for sd68 escribe document identifier 1032,escribe,sd68-archive,public-registry
Agenda.Css,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1033,School District 68,,Index record for sd68 escribe document identifier 1033,escribe,sd68-archive,public-registry
Agenda Package - BCM_Apr10_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1034,School District 68,,Index record for sd68 escribe document identifier 1034,escribe,sd68-archive,public-registry
Agenda Package - BE_Apr24_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1051,School District 68,,Index record for sd68 escribe document identifier 1051,escribe,sd68-archive,public-registry
Agenda Package - BE_Apr24_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1068,School District 68,,Index record for sd68 escribe document identifier 1068,escribe,sd68-archive,public-registry
Agenda Package - BE_Apr24_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1092,School District 68,,Index record for sd68 escribe document identifier 1092,escribe,sd68-archive,public-registry
Agenda Package - EC_May01_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1100,School District 68,,Index record for sd68 escribe document identifier 1100,escribe,sd68-archive,public-registry
Agenda Package - EC_May01_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1110,School District 68,,Index record for sd68 escribe document identifier 1110,escribe,sd68-archive,public-registry
"Special Board Meeting March 27, 2019.pdf",https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1111,School District 68,,Index record for sd68 escribe document identifier 1111,escribe,sd68-archive,public-registry
"Regular - March 13, 2019.pdf",https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1112,School District 68,,Index record for sd68 escribe document identifier 1112,escribe,sd68-archive,public-registry
Funding Model Review Panel.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1113,School District 68,,Index record for sd68 escribe document identifier 1113,escribe,sd68-archive,public-registry
Ministry of Education re Long Range Facilities Planning.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1114,School District 68,,Index record for sd68 escribe document identifier 1114,escribe,sd68-archive,public-registry
Ministry of Education re Local Education Agreement Grants.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1115,School District 68,,Index record for sd68 escribe document identifier 1115,escribe,sd68-archive,public-registry
T Fisher re Regulatory Body for EAs.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1116,School District 68,,Index record for sd68 escribe document identifier 1116,escribe,sd68-archive,public-registry
G Korpan re Compensation from Treaspassers at Rutherford School.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1117,School District 68,,Index record for sd68 escribe document identifier 1117,escribe,sd68-archive,public-registry
Letter to BC School Boards on Budgets.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1118,School District 68,,Index record for sd68 escribe document identifier 1118,escribe,sd68-archive,public-registry
OS Reg Brd Motions April 24 19.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1119,School District 68,,Index record for sd68 escribe document identifier 1119,escribe,sd68-archive,public-registry
Summary by Schools March 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1120,School District 68,,Index record for sd68 escribe document identifier 1120,escribe,sd68-archive,public-registry
Detail by Schools March 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1121,School District 68,,Index record for sd68 escribe document identifier 1121,escribe,sd68-archive,public-registry
Budget Calendar.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1122,School District 68,,Index record for sd68 escribe document identifier 1122,escribe,sd68-archive,public-registry
AS - Capital Bylaw.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1123,School District 68,,Index record for sd68 escribe document identifier 1123,escribe,sd68-archive,public-registry
Trustee Barron Zone Report.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1124,School District 68,,Index record for sd68 escribe document identifier 1124,escribe,sd68-archive,public-registry
Trustee Brzovic Zone Report.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1125,School District 68,,Index record for sd68 escribe document identifier 1125,escribe,sd68-archive,public-registry
Trustee Stanley Zone Report.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1126,School District 68,,Index record for sd68 escribe document identifier 1126,escribe,sd68-archive,public-registry
Trustee McKay Zone Report.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1127,School District 68,,Index record for sd68 escribe document identifier 1127,escribe,sd68-archive,public-registry
Trustee O'Neill Zone Report.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1128,School District 68,,Index record for sd68 escribe document identifier 1128,escribe,sd68-archive,public-registry
S72(3) Report March 13 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1129,School District 68,,Index record for sd68 escribe document identifier 1129,escribe,sd68-archive,public-registry
S72(3) Report March 27 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1130,School District 68,,Index record for sd68 escribe document identifier 1130,escribe,sd68-archive,public-registry
NLPS Logo.png,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1131,School District 68,,Index record for sd68 escribe document identifier 1131,escribe,sd68-archive,public-registry
Agenda Package - BE_Apr24_2019 - English.Html,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1132,School District 68,,Index record for sd68 escribe document identifier 1132,escribe,sd68-archive,public-registry
Agenda.Css,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1133,School District 68,,Index record for sd68 escribe document identifier 1133,escribe,sd68-archive,public-registry
Agenda Package - BE_Apr24_2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1134,School District 68,,Index record for sd68 escribe document identifier 1134,escribe,sd68-archive,public-registry
08 - April 3 2019.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1135,School District 68,,Index record for sd68 escribe document identifier 1135,escribe,sd68-archive,public-registry
IS - AP 325 Formal Complaints and Appeals.pdf,https://pub-sd68.escribemeetings.com/FileStream.ashx?DocumentId=1136,School District 68,,Index record for sd68 escribe document identifier 1136,escribe,sd68-archive,public-registry
