doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
Standards And Guidelines For The Conservation Of Historic Places,http://www.ladysmith.ca/docs/b-d---informational-documents/standards-and-guidelines-for-the-conservation-of-historic-places.pdf,Town of Ladysmith,,,info-docs,,
Canada Small Business Financing Program Brochure,http://www.ladysmith.ca/docs/brochures-other-publications/canada-small-business-financing-program-brochure.pdf,Town of Ladysmith,,,brochure-insert,,
1176 Sign And Canopy Bylaw Consolidated,http://www.ladysmith.ca/docs/bylaws/1176-sign-and-canopy-bylaw-consolidated.pdf,Town of Ladysmith,,,bylaw,,
Dp Sign Facade Application,http://www.ladysmith.ca/docs/default-source/forms-permits-applications/dp---sign-facade-application.pdf,Town of Ladysmith,,,forms-permits-applications,,
2008 01 21 Gsc Reg Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-01-21-gsc-reg-agenda.pdf,Town of Ladysmith,2008-01-21,,agenda-pkg,government-services-committee,
2008 02 18 Gsc Agenda Reg Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-02-18-gsc-agenda-reg-full-pkg.pdf,Town of Ladysmith,2008-02-18,,agenda-pkg,government-services-committee,
2008 03 17 Gsc Agenda Reg Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-03-17-gsc-agenda-reg-full-pkg.pdf,Town of Ladysmith,2008-03-17,,agenda-pkg,government-services-committee,
2008 04 21 Gsc Reg Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-04-21-gsc-reg-agenda-full-pkg.pdf,Town of Ladysmith,2008-04-21,,agenda-pkg,government-services-committee,
2008 05 20 Gsc Agenda Reg Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-05-20-gsc-agenda-reg-full-pkg.pdf,Town of Ladysmith,2008-05-20,,agenda-pkg,government-services-committee,
2008 06 16 Gsc Reg Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-06-16-gsc-reg-agenda-full-pkg.pdf,Town of Ladysmith,2008-06-16,,agenda-pkg,government-services-committee,
2008 07 21 Gsc Reg Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-07-21-gsc-reg-agenda-full-pkg.pdf,Town of Ladysmith,2008-07-21,,agenda-pkg,government-services-committee,
2008 08 18 Gsc Reg Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-08-18-gsc-reg-agenda-full-pkg.pdf,Town of Ladysmith,2008-08-18,,agenda-pkg,government-services-committee,
2008 09 15 Gsc Reg Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-09-15-gsc-reg-agenda-full-pkg.pdf,Town of Ladysmith,2008-09-15,,agenda-pkg,government-services-committee,
2008 10 20 Gsc Reg Agenda,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-10-20-gsc-reg-agenda.pdf,Town of Ladysmith,2008-10-20,,agenda-pkg,government-services-committee,
2008 11 17 Gsc Reg Agenda Full Pkg,https://www.ladysmith.ca/docs/2008---2014-municipal-services-documents/2008-11-17-gsc-reg-agenda-full-pkg.pdf,Town of Ladysmith,2008-11-17,,agenda-pkg,government-services-committee,
