doc_title,source_url,jurisdiction,doc_date,doc_summary,tag1,tag2,tag3
7. SFN Election Code 1,https://www.stzuminus.com/wp-content/uploads/2023/09/7.-SFN_Election-Code-1.pdf,Stz'uminus First Nation,"2023, Sep",Historical public archive document entry for: 7. SFN Election Code 1,stzuminus,first-nation,elections
SFN Consolidated Financials March 31 2020,https://www.stzuminus.com/wp-content/uploads/2023/09/SFN-Consolidated-Financials-March-31-2020.pdf,Stz'uminus First Nation,"2023, Sep",Historical public archive document entry for: SFN Consolidated Financials March 31 2020,stzuminus,first-nation,financial
SFN Consolidated Financials March 31 2021,https://www.stzuminus.com/wp-content/uploads/2023/09/SFN-Consolidated-Financials-March-31-2021.pdf,Stz'uminus First Nation,"2023, Sep",Historical public archive document entry for: SFN Consolidated Financials March 31 2021,stzuminus,first-nation,financial
SFN Consolidated Financials March 31 2022,https://www.stzuminus.com/wp-content/uploads/2023/09/SFN-Consolidated-Financials-March-31-2022.pdf,Stz'uminus First Nation,"2023, Sep",Historical public archive document entry for: SFN Consolidated Financials March 31 2022,stzuminus,first-nation,financial
SFN Schedule Of Remuneration Elected March 31 2020,https://www.stzuminus.com/wp-content/uploads/2023/09/SFN-Schedule-of-Remuneration-Elected-March-31-2020.pdf,Stz'uminus First Nation,"2023, Sep",Historical public archive document entry for: SFN Schedule Of Remuneration Elected March 31 2020,stzuminus,first-nation,financial
SFN Schedule Of Remuneration Elected March 31 2021,https://www.stzuminus.com/wp-content/uploads/2023/09/SFN-Schedule-of-Remuneration-Elected-March-31-2021.pdf,Stz'uminus First Nation,"2023, Sep",Historical public archive document entry for: SFN Schedule Of Remuneration Elected March 31 2021,stzuminus,first-nation,financial
SFN Schedule Of Remuneration Elected March 31 2022,https://www.stzuminus.com/wp-content/uploads/2023/09/SFN-Schedule-of-Remuneration-Elected-March-31-2022.pdf,Stz'uminus First Nation,"2023, Sep",Historical public archive document entry for: SFN Schedule Of Remuneration Elected March 31 2022,stzuminus,first-nation,financial
Animal Control Bylaw,https://www.stzuminus.com/wp-content/uploads/2023/09/animal-control-bylaw.pdf,Stz'uminus First Nation,"2023, Sep",Historical public archive document entry for: Animal Control Bylaw,stzuminus,first-nation,bylaw
Stzuminus All Hazards Emergency Management Plan 1.1 March 2021 Public Document 1,https://www.stzuminus.com/wp-content/uploads/2023/09/stzuminus-all-hazards-emergency-management-plan-1.1-march-2021-public-document-1.pdf,Stz'uminus First Nation,"2023, Sep",Historical public archive document entry for: Stzuminus All Hazards Emergency Management Plan 1.1 March 2021 Public Document 1,stzuminus,first-nation,public-record
Aug 2023 V4 Reduced,https://www.stzuminus.com/wp-content/uploads/2023/10/aug-2023-v4-reduced.pdf,Stz'uminus First Nation,"2023, Oct",Historical public archive document entry for: Aug 2023 V4 Reduced,stzuminus,first-nation,public-record
July 2023 V6 Reduced,https://www.stzuminus.com/wp-content/uploads/2023/10/july-2023-v6-reduced.pdf,Stz'uminus First Nation,"2023, Oct",Historical public archive document entry for: July 2023 V6 Reduced,stzuminus,first-nation,public-record
Stzuminus Mar 23 E Signed Schedule Of Remuneration Elected 350710,https://www.stzuminus.com/wp-content/uploads/2023/12/Stzuminus-Mar-23-E-signed-Schedule-of-Remuneration-Elected-350710.pdf,Stz'uminus First Nation,"2023, Dec",Historical public archive document entry for: Stzuminus Mar 23 E Signed Schedule Of Remuneration Elected 350710,stzuminus,first-nation,financial
Stzuminus Mar 23 Financial Statements 350710,https://www.stzuminus.com/wp-content/uploads/2023/12/Stzuminus-Mar-23-Financial-Statements-350710.pdf,Stz'uminus First Nation,"2023, Dec",Historical public archive document entry for: Stzuminus Mar 23 Financial Statements 350710,stzuminus,first-nation,financial
Feb Online 2024,https://www.stzuminus.com/wp-content/uploads/2024/01/feb-online-2024.pdf,Stz'uminus First Nation,"2024, Jan",Historical public archive document entry for: Feb Online 2024,stzuminus,first-nation,public-record
2023 Sept V2 Online,https://www.stzuminus.com/wp-content/uploads/2024/05/2023-sept-v2-online.pdf,Stz'uminus First Nation,"2024, May",Historical public archive document entry for: 2023 Sept V2 Online,stzuminus,first-nation,public-record
April 2024 V1 Online,https://www.stzuminus.com/wp-content/uploads/2024/05/April-2024-v1-online.pdf,Stz'uminus First Nation,"2024, May",Historical public archive document entry for: April 2024 V1 Online,stzuminus,first-nation,public-record
April 2023 V3,https://www.stzuminus.com/wp-content/uploads/2024/05/april-2023-v3.pdf,Stz'uminus First Nation,"2024, May",Historical public archive document entry for: April 2023 V3,stzuminus,first-nation,public-record
Feb 2023 V4 Reduced,https://www.stzuminus.com/wp-content/uploads/2024/05/feb-2023-v4-reduced.pdf,Stz'uminus First Nation,"2024, May",Historical public archive document entry for: Feb 2023 V4 Reduced,stzuminus,first-nation,public-record
Jan 2023 V2 Reduced,https://www.stzuminus.com/wp-content/uploads/2024/05/jan-2023-v2-reduced.pdf,Stz'uminus First Nation,"2024, May",Historical public archive document entry for: Jan 2023 V2 Reduced,stzuminus,first-nation,public-record
